#Procedure: <__main__.daedalusFieldRasterProcedure>
#Parameters:
#	stage X End Position: 29 mm
#	stage X Start Position: 25 mm
#	stage X Scan Step Size: 0.5 mm
#	stage Y End Position: 24 mm
#	stage Y Start Position: 20 mm
#	stage Y Scan Step Size: 0.5 mm
#	Delay between averages: 0.2 s
#	Volts to magnet: 3 V
#	name: field_raster
#	Number of Averages: 3
#	Magnet Phi: 0 deg
#Data:
X,Y,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std
25.0,20.0,0.00026293131510416666,-0.15958323364257812,-0.05443290812174479,3.359829972874807e-07,1.0731838905848477e-05,1.6858095288823144e-05
25.5,20.0,0.00026391805013020834,-0.15964425048828126,-0.0543563944498698,1.2206276764335489e-05,2.5760596122897434e-05,3.2958092697088805e-06
26.0,20.0,0.0002451985677083334,-0.15972601318359378,-0.054248899332682295,2.296445102063487e-05,3.811500939552678e-06,7.97893206099648e-06
26.5,20.0,0.00012701822916666666,-0.15973403523763022,-0.05411781412760417,9.038417559795245e-06,2.563847074022754e-05,8.961870969842095e-06
27.0,20.0,9.494222005208333e-05,-0.1598030985514323,-0.05402236938476563,1.4448450667201551e-05,6.816265926965242e-06,1.2267493492399234e-05
27.5,20.0,4.8779296875e-05,-0.15985830485026042,-0.053899629720052085,1.944133342442878e-05,1.2216665238604967e-05,1.5245645652287076e-05
28.0,20.0,-3.769938151041667e-05,-0.1598419942220052,-0.05378087565104167,1.1657059025805765e-05,1.4671116827043281e-05,1.5983523267318492e-05
28.5,20.0,-0.00012542928059895836,-0.15987787679036458,-0.053666601562500006,4.284657342166409e-06,1.6056573153236592e-05,1.9514903539539458e-06
29.0,20.0,-0.00017417805989583337,-0.15984671020507812,-0.05357889811197917,1.7006767955021927e-05,2.9304722476684357e-05,9.718072616859446e-06
25.0,20.5,-0.00036289876302083337,-0.16244400838216147,-0.04333793334960937,2.8694635349030253e-05,5.5906522485940955e-06,2.808835812794083e-05
25.5,20.5,-0.00039431966145833333,-0.16248284098307292,-0.04321722819010417,9.632527717312626e-06,4.035638910617565e-06,1.873053516123872e-05
26.0,20.5,-0.000427734375,-0.1625389038085938,-0.043127294921875,2.618439929832191e-05,1.0098852680683628e-05,6.620156776050316e-06
26.5,20.5,-0.0004641459147135417,-0.16258363037109377,-0.04300617472330729,9.440224745407815e-06,1.876997347444978e-05,7.4190976707480115e-06
27.0,20.5,-0.0005008280436197917,-0.16262195638020835,-0.04288999023437501,1.7657512780927564e-06,1.3340214503382432e-05,1.2432675055145452e-05
27.5,20.5,-0.0005583841959635417,-0.16264642333984375,-0.04274585164388021,8.443496147265926e-06,5.084820759059414e-06,1.590896877285561e-05
28.0,20.5,-0.0005838867187500001,-0.16266809285481773,-0.04265439046223959,1.1958232154263083e-05,3.886146737622698e-06,9.492809883995518e-06
28.5,20.5,-0.000661651611328125,-0.16266933797200522,-0.04253437093098958,9.545556311887174e-06,6.623793445138991e-06,6.921925524700625e-06
29.0,20.5,-0.0007009195963541666,-0.16264426879882812,-0.04241798706054687,3.199120838456062e-06,6.439335296019717e-06,1.5029602873894876e-05
25.0,21.0,-0.0009940063476562501,-0.1645802469889323,-0.03213179524739584,2.7745474801528028e-06,1.694456884614452e-05,1.2724288086714054e-05
25.5,21.0,-0.000996484375,-0.16464691162109377,-0.03201331176757813,3.0969593535738563e-06,9.2777466268325e-06,1.800650969100142e-05
26.0,21.0,-0.0010605794270833334,-0.1646817159016927,-0.03191904907226562,2.3047021732473864e-05,2.2088708965531064e-05,1.6284695168670047e-05
26.5,21.0,-0.0010551534016927083,-0.16474722086588542,-0.031818668619791664,2.399550177415799e-05,2.078786358328199e-05,1.7256086465894217e-05
27.0,21.0,-0.001083062744140625,-0.1647702107747396,-0.03166787516276042,8.23778520021895e-06,1.6179333818300973e-05,2.977846928699721e-05
27.5,21.0,-0.0010775309244791668,-0.1647607401529948,-0.03156728312174479,1.4479824126705973e-05,1.0686744412876994e-05,8.69658859758512e-06
28.0,21.0,-0.0011509908040364585,-0.16477740885416667,-0.03143775024414063,7.071641009187725e-06,9.064067087572429e-06,1.061625794193988e-06
28.5,21.0,-0.0011486124674479168,-0.1647696716308594,-0.031302895100911464,1.1795338677302728e-05,7.482354214520298e-06,1.056541453886489e-05
29.0,21.0,-0.0011950988769531253,-0.16475360107421877,-0.031175569661458333,1.5273765436864964e-05,7.197100060739739e-06,1.852583487896504e-05
25.0,21.5,-0.0015950927734375,-0.16616978352864586,-0.02090921020507813,1.4207747712563219e-05,2.2712999463797835e-05,1.3279615563445752e-05
25.5,21.5,-0.0015845560709635417,-0.16616705729166667,-0.020816451009114584,2.784355475284234e-06,1.614770493887378e-05,1.1490485208691375e-05
26.0,21.5,-0.0015999654134114586,-0.16624973347981772,-0.020682389322916668,1.3318760888102999e-05,1.3594371676697365e-05,1.6174500150456534e-05
26.5,21.5,-0.0016316548665364584,-0.16627372029622398,-0.020556785074869795,5.168541056817421e-06,1.5073863411667704e-05,1.7444317716958392e-05
27.0,21.5,-0.0016347819010416667,-0.1663680887858073,-0.02043129069010417,4.643954119354237e-06,1.3716928031341087e-05,1.0411657082441447e-05
27.5,21.5,-0.0016236572265625,-0.16634720662434896,-0.02029706217447917,1.321320775138524e-05,1.195980975210861e-05,1.2653969505616353e-05
28.0,21.5,-0.001632550048828125,-0.16631350301106773,-0.02017162882486979,2.6168937423353197e-05,1.2923124875368572e-05,1.6811868594688822e-05
28.5,21.5,-0.0016741841634114584,-0.1662939900716146,-0.020061132812500004,9.843720447825667e-06,1.5406427946385588e-05,1.4079007420632502e-05
29.0,21.5,-0.0016997192382812501,-0.16625430094401042,-0.01994049682617188,1.0386405939157465e-05,1.0939989866201733e-05,1.5396007364791722e-05
25.0,22.0,-0.0021717346191406253,-0.16716614583333333,-0.009932541910807292,4.03925963584164e-05,4.687802870117707e-06,6.3894807816653495e-06
25.5,22.0,-0.0021685648600260417,-0.16720006103515625,-0.009879270426432293,6.220262699182967e-06,7.839729223345707e-06,5.786476894043497e-06
26.0,22.0,-0.0021711486816406254,-0.16721107381184896,-0.009750331624348959,7.565682871094235e-06,4.534339326681247e-06,2.8444444020485758e-05
26.5,22.0,-0.0021795166015625,-0.16725185750325522,-0.009623614501953126,3.288401840136492e-05,1.588954324748584e-05,7.481477900098228e-06
27.0,22.0,-0.0021805318196614584,-0.16725098470052083,-0.009500976562500001,2.4905547557174975e-05,1.8181405168498955e-05,1.3249449899938388e-05
27.5,22.0,-0.0021552144368489584,-0.16727742919921876,-0.009388655598958334,2.0091514089575344e-05,8.443323586363142e-06,5.650300447573817e-06
28.0,22.0,-0.002199591064453125,-0.16726067708333334,-0.009251985677083333,1.2266870949670785e-05,1.4315457569216824e-05,4.271124736799684e-06
28.5,22.0,-0.0021793355305989586,-0.1672253194173177,-0.009136991373697917,1.440044315605135e-05,5.422050661334163e-06,1.019125716883193e-05
29.0,22.0,-0.002201780192057292,-0.1672048482259115,-0.009000370279947918,1.1802897161788906e-05,1.5180859211900112e-05,1.2611968841327951e-05
25.0,22.5,-0.0027275288899739586,-0.16757657470703125,0.0013097290039062503,5.059993195198176e-06,8.156600596272622e-06,1.278612473072733e-05
25.5,22.5,-0.0027472981770833333,-0.16763025919596355,0.00142587890625,2.0633668771591678e-05,2.4800154671464428e-05,7.998457926402239e-06
