#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: shims_nv_90
#	Center Calibration File: ./proj_field_center_calib_icarus.csv
#	Azimuthal Angle: 90 deg
#	Magnet Voltage: -2 V
#	Queued Time: 2019-06-04 20:37:40
#	Start Y position: 0 mm
#	Y position step: 0.01 mm
#	Stop Y position: 15 mm
#Data:
R,Xfield,Yfield,Zfield,elapsed_time
0.0,-0.11164914550781252,-0.002154412841796875,-0.0005608703613281251,0.6330361366271973
0.01,-0.11169526977539063,-0.00215943603515625,-0.000680816650390625,1.442082405090332
0.02,-0.111748046875,-0.00213271484375,-0.0008603271484375,2.2391281127929688
0.03,-0.11166427001953126,-0.0021595825195312502,-0.000977691650390625,3.0601749420166016
0.04,-0.11169535522460938,-0.0021572265625,-0.00113673095703125,3.8972227573394775
0.05,-0.11166392822265625,-0.0021632812500000003,-0.00126300048828125,4.717269659042358
0.06,-0.11164996948242188,-0.00216072998046875,-0.0014463562011718752,5.527316093444824
0.07,-0.11166768188476564,-0.002155218505859375,-0.00156324462890625,6.333362340927124
0.08,-0.11168206176757814,-0.0021894531250000004,-0.001725152587890625,7.137408256530762
0.09,-0.1116754638671875,-0.00216805419921875,-0.0018763183593750001,7.9454545974731445
0.1,-0.111671435546875,-0.0021612304687500003,-0.002026605224609375,8.745500087738037
0.11,-0.11170120239257814,-0.00215169677734375,-0.00217041015625,9.552546501159668
0.12,-0.11166712036132814,-0.00216971435546875,-0.002304156494140625,10.371593236923218
0.13,-0.11168604736328125,-0.002174169921875,-0.0024639221191406252,11.186639785766602
0.14,-0.11169132080078126,-0.002153839111328125,-0.002613616943359375,11.999686241149902
0.15,-0.111686376953125,-0.0021435180664062504,-0.0027649475097656253,12.808732509613037
0.16,-0.11170884399414063,-0.002140374755859375,-0.00290750732421875,13.615778684616089
0.17,-0.11167152709960937,-0.0021368835449218754,-0.0030292968750000003,14.430825471878052
0.18,-0.11166038208007814,-0.00213116455078125,-0.003188714599609375,15.24887204170227
0.19,-0.11166928710937502,-0.002157281494140625,-0.003323516845703125,16.059918642044067
0.2,-0.11166063842773438,-0.00213541259765625,-0.0035001464843750006,16.865964651107788
0.21,-0.11167656860351563,-0.00212666015625,-0.0036364624023437504,17.68001127243042
0.22,-0.11169951782226561,-0.00214334716796875,-0.0037886901855468755,18.49305772781372
0.23,-0.11169364013671874,-0.0021761352539062502,-0.0039576416015625,19.30610418319702
0.24,-0.11166528930664064,-0.00216502685546875,-0.00410013427734375,20.113150358200073
0.25,-0.11165226440429687,-0.00214793701171875,-0.00423438720703125,20.93119716644287
0.26,-0.11168428955078125,-0.00213289794921875,-0.0043800964355468755,21.754244327545166
0.27,-0.11162952880859377,-0.0021445556640625,-0.004515203857421875,22.56929087638855
0.28,-0.111640185546875,-0.0021282470703125,-0.004690716552734376,23.38333749771118
0.29,-0.11165562133789063,-0.0021503234863281253,-0.004837518310546875,24.199384212493896
0.3,-0.11163915405273438,-0.0021634399414062503,-0.0049734924316406255,25.022431135177612
0.31,-0.11164854736328125,-0.002119873046875,-0.005135186767578126,25.831477403640747
0.32,-0.11162060546875,-0.002164044189453125,-0.0052842590332031255,26.645524263381958
0.33,-0.11161800537109375,-0.00216375732421875,-0.005434906005859375,27.4515700340271
0.34,-0.11164891967773438,-0.00212960205078125,-0.0055834228515625,28.2576162815094
0.35000000000000003,-0.11162348632812501,-0.002123675537109375,-0.005757086181640625,29.062662363052368
0.36,-0.11161218261718751,-0.0021350524902343754,-0.0058974853515625005,29.864708423614502
0.37,-0.11162120971679688,-0.002121368408203125,-0.00603095703125,30.670754194259644
0.38,-0.11161115112304687,-0.00217886962890625,-0.00620111083984375,31.47480034828186
0.39,-0.11164813232421876,-0.00215184326171875,-0.006334851074218751,32.28084635734558
0.4,-0.11163353271484376,-0.0021201171875000003,-0.00654215087890625,33.08689260482788
0.41000000000000003,-0.11162234497070314,-0.0021525024414062502,-0.006664227294921875,33.895938873291016
0.42,-0.11160123901367187,-0.00216873779296875,-0.006820617675781251,34.7109854221344
0.43,-0.11163004150390626,-0.002163250732421875,-0.006968853759765626,35.520031690597534
0.44,-0.11151357421875,-0.0021607177734375,-0.007135784912109375,36.3250777721405
0.45,-0.11153100585937502,-0.0021652526855468752,-0.007284381103515625,37.139124155044556
0.46,-0.11156055908203125,-0.00215902099609375,-0.00742861328125,37.95417094230652
0.47000000000000003,-0.11155859374999999,-0.0021487976074218754,-0.007582843017578125,38.76721739768982
0.48,-0.11158158569335937,-0.0021783325195312503,-0.007730920410156251,39.583264112472534
0.49,-0.11157527465820312,-0.0021459716796875003,-0.007868493652343751,40.39131021499634
0.5,-0.11152161254882814,-0.00213470458984375,-0.008004144287109374,41.20335674285889
0.51,-0.1115220458984375,-0.002172235107421875,-0.008161102294921875,42.01240301132202
0.52,-0.11152962646484375,-0.002152593994140625,-0.008336700439453126,42.81944918632507
0.53,-0.11151859741210937,-0.002160980224609375,-0.00845015869140625,43.63049578666687
0.54,-0.11151335449218752,-0.0021451171875,-0.008623773193359377,44.446542263031006
0.55,-0.11155488281249999,-0.0021353759765625003,-0.008774053955078125,45.257588624954224
0.56,-0.11151453247070314,-0.002135797119140625,-0.008915380859375,46.063634634017944
0.5700000000000001,-0.11149921875,-0.002149481201171875,-0.00910169677734375,46.87168097496033
0.58,-0.11147755737304688,-0.0021738769531250003,-0.009210968017578125,47.68072724342346
0.59,-0.11144576416015627,-0.00214158935546875,-0.009366741943359375,48.49377369880676
0.6,-0.11144026489257813,-0.002164825439453125,-0.00949937744140625,49.3028199672699
0.61,-0.11144838256835939,-0.002160589599609375,-0.009676464843750001,50.11686658859253
0.62,-0.11145109863281251,-0.002148382568359375,-0.009800103759765625,50.92891311645508
0.63,-0.11143202514648438,-0.0021355712890625002,-0.00994765625,51.725958585739136
0.64,-0.111407861328125,-0.002151507568359375,-0.01009493408203125,52.52600455284119
0.65,-0.11142789306640627,-0.0021473937988281252,-0.01024700927734375,53.324049949645996
