#Procedure: <__main__.icarusCalibCheckProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/icarus
#	Magnetic field strength: 0.1 T
#	Number of Averages: 3
#	Phi End Position: 45 mm
#	Phi Start Position: 0 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 0 mm
#	Theta Start Position: 0 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,V,act_V
0.0,0.0,26.419,21.71975,-0.9735919705441596,-0.3161753834744803,-0.0016843770345052085,0.09911586100260417,-0.0005470357259114584,1.2952164777855842e-05,1.785947240004086e-05,4.466862634907655e-06,0.09913168149672102,1.77642822265625,1.77490234375
5.0,0.0,26.419,21.72001,4.070062347815339,-0.27491928916606084,0.007035504150390626,0.09887475789388023,-0.00047562866210937505,5.156638776206277e-06,1.704739800565613e-05,1.461166173544481e-05,0.09912589111754716,1.77703857421875,1.77703857421875
10.0,0.0,26.419,21.72001,9.092993860873573,-0.23432879415168062,0.0156702880859375,0.09790953979492188,-0.00040552978515625003,1.1005215833342932e-05,2.6421949245564156e-06,1.099038621340993e-05,0.09915644389527245,1.7718505859375,1.77520751953125
15.0,0.0,26.419,21.72001,14.08052156807139,-0.19858013176639616,0.024133809407552085,0.09621915486653647,-0.00034381510416666675,1.2724960464132625e-05,2.5039480909746957e-05,2.356633345666495e-06,0.09920022544619761,1.776123046875,1.77581787109375
20.0,0.0,26.419,21.72001,19.096695256300958,-0.14977758728176502,0.03246219278971354,0.09376270955403647,-0.000259381103515625,2.3013186932576424e-05,2.2601319916067554e-05,1.3235226529832911e-05,0.09922352010580955,1.776123046875,1.7767333984375
25.0,0.0,26.419,21.72001,24.108668238062588,-0.08663165562728789,0.0405361796061198,0.09058299560546874,-0.00015005086263020836,1.2933448341869574e-05,2.024536040808443e-05,7.927025492754135e-06,0.09923952572025597,1.7767333984375,1.776123046875
30.0,0.0,26.419,21.72001,29.12388307491809,-0.04894502170231613,0.048304604085286466,0.08670117797851562,-8.4783935546875e-05,2.1371157794721116e-06,2.2327012215203717e-05,1.1894840096575742e-05,0.09924936386201295,1.77581787109375,1.77398681640625
35.0,0.0,26.419,21.72001,34.13451313315942,-0.00018078983495960373,0.05571826578776042,0.08218884887695313,-3.13313802083334e-07,1.0200051870269597e-05,1.7673439587346235e-05,1.293998701165763e-05,0.09929517622831595,1.7767333984375,1.77642822265625
40.0,0.0,26.419,21.72001,39.12053375622931,0.03780645393827987,0.0626483133951823,0.07703230997721355,6.551717122395833e-05,2.529052827338972e-06,7.837321798008326e-06,1.706178402165086e-05,0.09929145101259332,1.776123046875,1.773681640625
45.0,0.0,26.419,21.72001,44.1253978087739,0.07252764659182656,0.06916889444986979,0.07131348063151043,0.00012575887044270835,1.2079235565947219e-05,4.3675941652472305e-06,4.423456950706191e-06,0.09934769395658631,1.7755126953125,1.77581787109375
