#Procedure: <__main__.icarusCalibCheckProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/icarus
#	Magnetic field strength: 0.1 T
#	Number of Averages: 3
#	Phi End Position: 359 mm
#	Phi Start Position: 0 mm
#	Phi Scan Step Size: 1 mm
#	Theta End Position: 0 mm
#	Theta Start Position: 0 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,V,act_V
0.0,0.0,26.419,21.76,-0.99170599846503,-0.005609386624115656,-0.0017145487467447919,0.09904810180664063,-9.698486328125e-06,1.0058126263829723e-05,3.356321003823954e-05,1.0941754376557912e-05,0.09906294081524256,1.77520751953125,1.7767333984375
1.0,0.0,26.419,21.76,0.041422968578420365,0.006762357194772628,7.168375651041667e-05,0.09915214029947916,1.1702473958333332e-05,2.2423113797207428e-05,4.763069831466572e-05,1.0975630838685276e-05,0.0991521669025768,1.77703857421875,1.77734375
2.0,0.0,26.419,21.76,1.0559570100081368,0.02208547304228656,0.0018276814778645835,0.09915799357096355,3.822835286458333e-05,4.695251025775937e-06,1.7666205616093562e-05,4.580270871153424e-06,0.0991748434332555,1.77581787109375,1.77703857421875
3.0,0.0,26.419,21.76,2.065522244222154,0.03574230414875361,0.003575313313802084,0.09913309529622395,6.188151041666667e-05,1.2954910290780135e-05,2.1759011992516615e-05,5.434620794073419e-06,0.09919756689366631,1.77215576171875,1.77642822265625
4.0,0.0,26.419,21.76,3.07744825588464,0.037993115237035566,0.005323950195312501,0.0990257039388021,6.575927734375001e-05,5.6407778711287305e-06,6.275677254887348e-06,7.333217602777503e-06,0.09916873907910703,1.77581787109375,1.77490234375
5.0,0.0,26.419,21.76,4.072544497629983,0.04439644247145356,0.007044490559895832,0.09894050699869793,7.685953776041667e-05,1.1442207780393463e-05,1.3611437713615733e-05,1.616956213088006e-05,0.0991910010020889,1.7767333984375,1.7767333984375
6.0,0.0,26.419,21.76,5.080353563612988,0.0392224980968786,0.008782484944661459,0.0987883768717448,6.789347330729167e-05,6.082406394701744e-06,3.835602979888131e-06,1.2519767482603128e-05,0.0991780220425917,1.77581787109375,1.7767333984375
7.0,0.0,26.419,21.76,6.090869977790317,0.054902531567301086,0.010526096598307293,0.09864392700195312,9.506022135416667e-05,1.912476364660173e-05,9.174373793213537e-06,2.8443270529817746e-06,0.09920399226043897,1.776123046875,1.77337646484375
8.0,0.0,26.419,21.76,7.0747764556526445,0.06364056784931758,0.012217877197265628,0.09844429931640625,0.00011018473307291669,2.8359616071019626e-06,8.984509066263313e-06,9.437346219991637e-06,0.09919964078453636,1.7742919921875,1.776123046875
9.0,0.0,26.419,21.76,8.083117269162988,0.06329720708266878,0.013949491373697916,0.09822170206705731,0.00010959879557291666,7.447476874217868e-06,1.8815711120533954e-05,2.5791006618274943e-05,0.09920737411317082,1.7767333984375,1.77581787109375
10.0,0.0,26.419,21.76,9.096781608611636,0.052690052046521434,0.015684716796875,0.09795819295247395,9.123128255208334e-05,2.0052051337741127e-05,1.6248405645273323e-05,9.212658336813686e-06,0.09920597880500552,1.77459716796875,1.7767333984375
11.0,0.0,26.419,21.76,10.079521559467983,0.08091411934094936,0.017362211100260417,0.09767308553059896,0.00014009806315104167,9.746487409293827e-06,9.088686529274075e-06,1.09002276780569e-05,0.09920432268215436,1.77276611328125,1.77490234375
12.0,0.0,26.419,21.76,11.087828556186693,0.09723142495005457,0.019084151204427083,0.0973822285970052,0.000168402099609375,2.0256720477880444e-05,1.666200989993151e-05,1.0820871653150506e-05,0.09923472997383509,1.77734375,1.7767333984375
13.0,0.0,26.419,21.76,12.086922012126696,0.09520138907180732,0.020778281656901043,0.0970300760904948,0.00016487833658854168,1.340517341235222e-05,1.2848518781559747e-05,6.290503890228813e-06,0.0992300349672749,1.77642822265625,1.77703857421875
14.0,0.0,26.419,21.76,13.111985397968267,0.09949223744268813,0.02251409098307292,0.09665694580078125,0.00017233479817708335,2.8031254021899794e-05,2.0255136798886873e-05,9.659910000842985e-06,0.09924454223589282,1.77642822265625,1.773681640625
15.0,0.0,26.419,21.76,14.122616715608185,0.09069134550818066,0.024215399169921877,0.09624473673502605,0.00015709025065104167,1.9112224008818076e-05,1.786719964779132e-05,7.39997902045984e-06,0.09924444359005685,1.7767333984375,1.776123046875
16.0,0.0,26.419,21.76,15.10888830947922,0.09445492294337614,0.025875775146484373,0.09584076944986979,0.00016365559895833333,1.3907993078820895e-05,3.3249405165593223e-06,1.0596090252079502e-05,0.09927253200825283,1.77520751953125,1.7755126953125
17.0,0.0,26.419,21.76,16.12042110572581,0.12440446369748348,0.02756373697916667,0.09536921793619792,0.00021554768880208334,1.2758398869630595e-05,2.4634681452772508e-05,1.1197959544964686e-05,0.09927282501684358,1.77581787109375,1.77642822265625
18.0,0.0,26.419,21.76,17.107156636011908,0.13255001286181495,0.029197344970703126,0.09486528930664062,0.00022962443033854168,2.0338035696053973e-05,1.264109060768392e-05,4.008878809360146e-06,0.09925704406212123,1.776123046875,1.77398681640625
19.0,0.0,26.419,21.76,18.109143801431543,0.15028264634564048,0.030848850504557292,0.0943311950683594,0.0002603190104166667,1.2590652148440903e-05,8.991596526195264e-06,4.746694679398592e-06,0.09924763829162173,1.77703857421875,1.77337646484375
20.0,0.0,26.419,21.76,19.104884396321374,0.14801201615144968,0.032494891357421875,0.09381378173828125,0.00025647583007812504,2.0004166700529564e-05,2.612990577471697e-05,8.583992418119792e-06,0.09928247271406943,1.776123046875,1.77642822265625
21.0,0.0,26.419,21.76,20.098401305835647,0.14166008241959158,0.034118935139973966,0.0932424336751302,0.00024548543294270836,6.773324654809861e-06,4.5562933782054e-06,1.8461656971929178e-05,0.09928903985760257,1.77398681640625,1.77337646484375
22.0,0.0,26.419,21.76,21.109282132850915,0.1564073665427124,0.0357486307779948,0.09260007324218751,0.000270965576171875,1.6379389143504e-05,1.545757316980939e-05,1.783169222757009e-05,0.09926132977803269,1.7767333984375,1.776123046875
