#Procedure: <__main__.icarusCalibCheckProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/icarus
#	Magnetic field strength: 0.1 T
#	Number of Averages: 3
#	Phi End Position: 180 mm
#	Phi Start Position: -180 mm
#	Phi Scan Step Size: 1 mm
#	Theta End Position: 0 mm
#	Theta Start Position: 0 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,V,act_V
-180.0,0.0,26.419,21.72001,6.756788402745617,-0.11892338229133276,-0.011703084309895834,-0.09877859293619791,-0.00020645955403645832,1.4497500105918703e-05,8.750868330366604e-06,4.816227762724448e-06,0.0994696699017699,1.776123046875,1.77581787109375
-179.0,0.0,26.419,21.72001,6.787818838913984,-0.11168251620228602,-0.011755438232421875,-0.09876265258789063,-0.00019387003580729166,1.537637554388858e-05,1.1310393608020443e-05,3.1700711959755225e-06,0.09945998924101816,1.77703857421875,1.7755126953125
-178.0,0.0,26.419,21.72001,6.769088715805569,-0.10806265873019275,-0.011723480224609376,-0.09876925659179688,-0.00018759155273437503,1.2033622433477813e-05,2.1429444228577105e-05,1.156546799481782e-05,0.09946276301643583,1.7767333984375,1.77642822265625
-177.0,0.0,26.419,21.72001,6.784678149164693,-0.1125777372393128,-0.011750901285807294,-0.09877066650390626,-0.00019543863932291666,1.2757599772724944e-05,1.9835032878780433e-05,3.1861299944810063e-06,0.09946741395510592,1.776123046875,1.776123046875
-176.0,0.0,26.419,21.72001,6.77216949629989,-0.1168054610232505,-0.011726924641927082,-0.09875290934244792,-0.00020273640950520833,6.544597543196137e-06,1.4104267482032474e-05,2.164465581703595e-05,0.09944696560080109,1.7724609375,1.7767333984375
-175.0,0.0,26.419,21.72001,6.766338189208331,-0.10920907052556347,-0.011716074625651043,-0.09874736531575523,-0.00018953857421875,8.60611911678095e-06,9.905866505862093e-06,1.4664138856071529e-05,0.09944015530110639,1.77520751953125,1.77459716796875
-174.0,0.0,26.419,21.72001,6.768178751283573,-0.09588475263100746,-0.01172003173828125,-0.09875360310872396,-0.00016642456054687503,1.49000630564606e-05,1.8687531820297977e-05,5.9958169813200395e-06,0.09944677454817752,1.77703857421875,1.7767333984375
-173.0,0.0,26.419,21.72001,6.752314975900299,-0.10721990476589391,-0.011693552652994793,-0.09876413981119792,-0.00018611246744791666,1.172037042787841e-05,6.629553772287364e-06,1.0090771329760003e-05,0.09945415589177131,1.77398681640625,1.77276611328125
-172.0,0.0,26.419,21.72001,7.097235796306149,-0.1240740015698801,-0.012283644612630209,-0.09865779622395833,-0.00021529337565104169,6.936890679408408e-06,2.920799903024213e-06,7.636421460161648e-06,0.09941979195298634,1.77581787109375,1.7755126953125
-171.0,0.0,26.419,21.72001,8.123975561587507,-0.1323032849903697,-0.014055417887369795,-0.0984631306966146,-0.000229669189453125,1.073012898583095e-05,1.2127513358452652e-05,2.465395799611605e-05,0.09946152837405922,1.7767333984375,1.77703857421875
-170.0,0.0,26.419,21.72001,9.104964732392622,-0.1409025930536593,-0.015737888590494794,-0.09820043334960937,-0.0002445780436197917,2.475396441033682e-05,1.3329494030351586e-05,4.181403682211522e-06,0.09945383886888086,1.77581787109375,1.77703857421875
-169.0,0.0,26.419,21.72001,10.113959387254551,-0.14730431856765394,-0.01746444091796875,-0.09790664265950522,-0.00025568644205729174,1.804990478778577e-05,7.881615933438092e-06,1.0983389378970525e-05,0.09945241449552605,1.77581787109375,1.776123046875
-168.0,0.0,26.419,21.72001,11.108229804600965,-0.16142071146364861,-0.019162581380208335,-0.09759828694661458,-0.00028021647135416665,1.6052340727618332e-05,1.1854196794803317e-05,5.6398077020730405e-06,0.09946209660638392,1.77215576171875,1.77581787109375
-167.0,0.0,26.419,21.72001,12.104957928893196,-0.17365581402025757,-0.020857765706380208,-0.09725172526041666,-0.00030146077473958334,1.6963560708128084e-05,8.590894764228498e-06,6.793653106973348e-06,0.0994637387945402,1.77581787109375,1.7767333984375
-166.0,0.0,26.419,21.72001,13.102137862805618,-0.17504551816968872,-0.022544110107421873,-0.09686116943359376,-0.00030383300781250004,1.561398674340679e-05,8.802231706501484e-06,1.6203877240593918e-05,0.099450567414548,1.77581787109375,1.776123046875
-165.0,0.0,26.419,21.72001,14.08762779377781,-0.19873104243627307,-0.024196366373697917,-0.09641788533528646,-0.0003447977701822917,1.3058045618469086e-05,1.768665740174473e-05,1.5957880463162807e-05,0.09940820712456788,1.7767333984375,1.773681640625
-164.0,0.0,26.419,21.72001,15.09193943737449,-0.20474811170739388,-0.025889400227864585,-0.09600408121744791,-0.00035533040364583334,9.876338679547692e-06,2.2274725060110917e-05,6.798988271968486e-06,0.09943425422992141,1.77642822265625,1.77581787109375
