#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: 9vn
#	Center Calibration File: ./icarus_center_calib.csv
#	Azimuthal Angle: 0 deg
#	Magnet Voltage: -9 V
#	Queued Time: 2019-06-30 17:39:24
#	Start Y position: -15 mm
#	Y position step: 0.1 mm
#	Stop Y position: 15 mm
#Data:
R,Xfield,Yfield,Zfield,theta,phi,elapsed_time
-15.0,-0.007902949169921875,-0.007522514697265621,-0.18854026889648437,-86.68800491003203,-133.58721448818784,60.83008527755737
-14.9,-0.007896467236328121,-0.006566588183593743,-0.18862671298828124,-86.88352163337339,-129.74642146827856,62.05008673667908
-14.8,-0.007932880810546869,-0.005460313769531246,-0.18874539584960937,-87.07910110389092,-124.54018493072,63.30008864402771
-14.700000000000001,-0.007976136425781245,-0.004319963427734372,-0.18887966708984377,-87.2505031598569,-118.44046374015616,64.55009031295776
-14.600000000000001,-0.007942469433593745,-0.003200352832031246,-0.1890207681640625,-87.40616380422712,-111.94656539115006,65.80911040306091
-14.500000000000002,-0.007943006542968749,-0.0019703601562499895,-0.18920395908203125,-87.52329744890461,-103.93170245198546,67.0411810874939
-14.400000000000002,-0.00796617548828124,-0.000834434863281247,-0.18942500400390624,-87.57871384021664,-95.97976818497251,68.32825469970703
-14.300000000000002,-0.007982081249999995,0.0003298656738281308,-0.1895568033203125,-87.58669064062478,-87.63355419163786,69.54432415962219
-14.200000000000003,-0.00799689448242187,0.0014414745605468848,-0.18979410800781252,-87.54845768695665,-79.78191424293328,70.75339341163635
-14.100000000000003,-0.008012672070312497,0.002470368603515627,-0.18998072910156252,-87.47287690557549,-72.8650659864719,71.97546315193176
-14.000000000000004,-0.008029023388671869,0.0035743725097656318,-0.19016325473632814,-87.35386470907457,-66.00225729102576,73.20753359794617
-13.900000000000004,-0.008023646191406247,0.004662208203125004,-0.19045649814453125,-87.2105208024238,-59.84090434415916,74.47960638999939
-13.800000000000004,-0.008011414746093744,0.005833594921875004,-0.19068787021484376,-87.02494624828526,-53.93937574097133,75.69167590141296
-13.700000000000005,-0.008020277050781247,0.006968476513671877,-0.19099187412109375,-86.8159672478052,-49.014016624780574,76.91274571418762
-13.600000000000005,-0.008050263623046866,0.008119154003906254,-0.191264347265625,-86.57898161389703,-44.755890763622816,78.17981815338135
-13.500000000000005,-0.008092518261718744,0.00923575556640626,-0.1915509622558594,-86.33201234728723,-41.22536658598874,79.41988897323608
-13.400000000000006,-0.008088734082031243,0.010313282421875007,-0.1918549966796875,-86.09180736189725,-38.10718174188853,80.64595913887024
-13.300000000000006,-0.008114252880859374,0.011361396435546879,-0.19215685214843753,-85.84438604818982,-35.53423720699136,81.91303157806396
-13.200000000000006,-0.008130756787109367,0.012424171093750006,-0.19247473544921875,-85.5887304702774,-33.20196005161079,83.12210083007812
-13.100000000000007,-0.008138587597656247,0.013577515820312504,-0.19285844516601566,-85.30765964611528,-30.939169605684306,84.34617066383362
-13.000000000000007,-0.008157032421874995,0.014682600048828133,-0.19325026035156254,-85.03263209333286,-29.054700698163693,85.56424045562744
-12.900000000000007,-0.008169038037109368,0.015908485058593762,-0.19368523349609376,-84.72473086148311,-27.180586618394344,86.7803099155426
-12.800000000000008,-0.00817892573242187,0.017047474316406255,-0.19402834262695315,-84.43412860621078,-25.630455638595794,87.98837900161743
-12.700000000000008,-0.008202827099609372,0.018228541210937504,-0.1945231546386719,-84.13289399399945,-24.22770233186748,89.21944952011108
-12.600000000000009,-0.008237952832031242,0.019359980419921874,-0.1949191080078125,-83.83928171266638,-23.05045720107031,90.4965226650238
-12.500000000000009,-0.008239161328124994,0.020519941357421884,-0.19536900424804687,-83.54262906135996,-21.876434054764584,91.71459221839905
-12.40000000000001,-0.008276997021484371,0.02164914667968751,-0.19579248447265626,-83.24887931652677,-20.92307503424175,92.9356620311737
-12.30000000000001,-0.008275117138671871,0.022835285595703123,-0.19624679355468752,-82.94468152027446,-19.919650621183198,94.15473175048828
-12.20000000000001,-0.008295331982421869,0.02404759638671876,-0.19676813754882813,-82.6336692304076,-19.03211613950091,95.42280435562134
-12.10000000000001,-0.008373206738281243,0.025300660351562504,-0.19728265170898437,-82.30668692589187,-18.311866097483396,96.64287400245667
-12.00000000000001,-0.008356257275390619,0.02659713251953126,-0.19786643466796877,-81.97995012986401,-17.441617306135424,97.8859453201294
-11.900000000000011,-0.008418519238281241,0.027887556103515634,-0.19840282993164066,-81.64722062504866,-16.79768333716801,99.1500174999237
-11.800000000000011,-0.008431898144531241,0.02912047846679687,-0.19899273471679688,-81.33756813894902,-16.14848866359217,100.40108919143677
-11.700000000000012,-0.008464411572265622,0.030355945996093744,-0.1995515970214844,-81.02574471526182,-15.580525927318218,101.65116047859192
-11.600000000000012,-0.008499506787109368,0.0316192638671875,-0.2000985025390625,-80.70716074420827,-15.045892746734179,102.9002320766449
-11.500000000000012,-0.008495191601562493,0.03299421503906251,-0.20069064121093752,-80.36502197495508,-14.438631698040826,104.14030289649963
-11.400000000000013,-0.008527674511718743,0.03434041865234376,-0.20136514072265624,-80.0338631448409,-13.946024337045873,105.38337397575378
-11.300000000000013,-0.008541230419921872,0.035742231396484386,-0.20196235751953126,-79.68741693475502,-13.439782296873295,106.65744686126709
-11.200000000000014,-0.008605982617187494,0.03720536005859376,-0.2026874856933594,-79.33015713423538,-13.024046263476867,107.87051630020142
-11.100000000000014,-0.008600214794921873,0.03863231318359375,-0.20332348422851562,-78.98481270002594,-12.550367828958287,109.10158658027649
-11.000000000000014,-0.00865736811523437,0.04007087519531251,-0.20393385410156248,-78.63371072781086,-12.191446119366821,110.37465953826904
-10.900000000000015,-0.00868415034179687,0.04146770136718751,-0.20457678623046877,-78.29961213086747,-11.827926718113208,111.59172892570496
-10.800000000000015,-0.008670673779296867,0.04297883417968751,-0.2053325052246094,-77.94662494541359,-11.405919114982737,112.85980176925659
-10.700000000000015,-0.008763691357421867,0.04454811518554688,-0.20604896640625,-77.57370496841634,-11.129347430063856,114.09087204933167
-10.600000000000016,-0.008788465527343747,0.046121857861328136,-0.20674985751953126,-77.20545690491188,-10.78831340869264,115.36894512176514
-10.500000000000016,-0.008831385449218743,0.047802082470703125,-0.20751104526367184,-76.81576759811126,-10.467310467968863,116.59201526641846
-10.400000000000016,-0.008820972851562497,0.049506959179687504,-0.2083500345214844,-76.43079311271947,-10.102737337030234,117.80408430099487
-10.300000000000017,-0.008851105908203122,0.051162409619140634,-0.20904178867187503,-76.05099740547944,-9.815031235333885,119.02515411376953
-10.200000000000017,-0.008906373242187494,0.05286806757812501,-0.20981907138671876,-75.66646351326018,-9.562496781151406,120.24122381210327
-10.100000000000017,-0.008914753369140618,0.0545970470703125,-0.21058574619140627,-75.28118066153517,-9.273572609130017,121.46429371833801
-10.000000000000018,-0.00897951166992187,0.05637180903320313,-0.2113896585449219,-74.88858119070952,-9.050653747505562,122.74236679077148
-9.900000000000018,-0.00896109736328124,0.05819433710937501,-0.21216636752929688,-74.48964532335297,-8.753974204712874,123.96343660354614
-9.800000000000018,-0.009028870800781241,0.06013292963867188,-0.2129697916015625,-74.06493289988465,-8.539088129767046,125.18050622940063
