#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/1V/icarus
#	Magnetic field strength: 0.06 T
#	Number of Averages: 3
#	Phi End Position: 0 mm
#	Phi Start Position: 0 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
0.0,-90.0,26.31999,7.07544,-87.50018856549588,-87.623395151795,-0.002471809033203117,0.00010791336263021173,-0.05961353549804688,1.3445091358046087e-05,1.5737372935544725e-05,9.431799381639482e-06,0.05966485648828256,-0.0003351435117174423,-0.5617100776623175,-1.8137965630469686,-1.5911865234375
0.0,-85.0,26.31999,8.61334,-25.129374350909238,-84.36469536884275,-0.002495226188151035,0.005319636181640629,-0.05954790846354168,1.5486406413523678e-05,1.0548394882515121e-05,1.3813615875183224e-05,0.05983709622982547,-0.00016290377017453422,-0.27224544712003546,-1.7659123130486851,-1.544189453125
0.0,-80.0,26.31999,10.07499,-13.412155037118467,-79.76989438536116,-0.0024704540527343694,0.010360130973307298,-0.05901565341796875,1.6131999385563294e-05,6.548624456915944e-06,3.1252900624806236e-06,0.05996901537761446,-3.098462238554367e-05,-0.05166771905531363,-1.6803965594722072,-1.45721435546875
0.0,-75.0,26.31999,11.38171,-8.912667236356231,-74.93670553972842,-0.0024262808756510385,0.01547152623697917,-0.05818902174479168,9.527248800387716e-06,1.811360720043983e-05,1.209908153883824e-05,0.06025958193187971,0.00025958193187970713,0.43077287222661265,-1.5789048952342277,-1.357421875
0.0,-70.0,26.31999,12.50372,-6.507061755757131,-69.95457151549925,-0.002352074332682285,0.020621294303385423,-0.056883522477213545,4.622206885544378e-06,2.407872799133858e-06,1.2039249507547775e-05,0.060551673484957935,0.0005516734849579305,0.9110788409423162,-1.4769064923867632,-1.25396728515625
0.0,-65.0,26.31999,13.44562,-5.088974225835496,-64.81566866459244,-0.0022905224121093685,0.025720700227864587,-0.054914556819661474,1.3869618484823937e-05,2.345083722584972e-05,1.790270785562115e-05,0.06068285972028574,0.0006828597202857348,1.125292584155293,-1.384958631368815,-1.16180419921875
0.0,-60.0,26.31999,14.23352,-3.9597103390454773,-59.76174640877133,-0.0021142915364583265,0.03054442052408855,-0.05252545159505209,6.229895469361276e-06,1.5127203079875227e-05,3.5498973630853046e-06,0.060797655539647756,0.0007976555396477514,1.311984043739284,-1.3099037437919223,-1.087646484375
0.0,-55.0,26.31999,14.90502,-3.3041130033966617,-54.853856334700644,-0.0020194327311197843,0.034979639843750014,-0.049768617692057295,2.1902787822734056e-05,1.1829593750334757e-06,1.000032346586015e-05,0.0608651675355629,0.0008651675355628927,1.4214493619152269,-1.2522374814410184,-1.03515625
0.0,-50.0,26.31999,15.50056,-2.7537422396903497,-50.02624367528017,-0.0018805736816406178,0.03909805211588543,-0.04669252923177084,4.235356108119057e-06,1.3375981638486827e-05,1.1148553543062472e-05,0.0609293568215548,0.0009293568215547957,1.5253022024779028,-1.208855833121291,-0.98724365234375
0.0,-45.0,26.31999,16.05667,-2.284525926965167,-45.14864202924527,-0.0017143179850260374,0.04297220983072917,-0.04323011468098959,2.2833890865474024e-05,1.157035150090663e-05,1.0234599430514749e-05,0.060978623461189346,0.0009786234611893416,1.6048631563685583,-1.1763830819681529,-0.953369140625
