#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Calibration Name: 
#	Delay between averages: 0.1 s
#	Magnet Calibration Filename: C:\Users\TopMob\daedalus_control\calibrations/3V/icarus
#	Magnetic field strength: 0.2 T
#	Number of Averages: 3
#	Phi End Position: -90 mm
#	Phi Start Position: -90 mm
#	Phi Scan Step Size: 5 mm
#	Theta End Position: 90 mm
#	Theta Start Position: -90 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
-90.0,-90.0,11.96842,21.40002,-121.81815657114865,-88.96547312338772,-0.0030528983072916605,-0.0018942167643229146,-0.1989606810872396,2.6302534514986078e-05,1.2974728976791352e-05,1.1771507539254833e-05,0.19899311762953806,-0.0010068823704619534,-0.5059885399335511,-10.0,-9.77874755859375
-90.0,-85.0,13.50796,21.40002,-95.30204065614458,-83.96234842821917,-0.020680301057942704,-0.001919196419270829,-0.19636401767578127,7.734035544433542e-06,2.3345413678402258e-05,1.552437887935596e-05,0.19745932645615255,-0.0025406735438474604,-1.2866819660765112,-9.480413387286049,-9.2584228515625
-90.0,-80.0,14.9721,21.40002,-92.9576390074063,-79.18315740632774,-0.036702469026692705,-0.0018962858561197861,-0.19235049635416668,1.7802467904533295e-05,1.6192994151715377e-05,1.5523600843626677e-05,0.19582997875809963,-0.004170021241900385,-2.1294090252909808,-8.58614099585828,-8.36395263671875
-90.0,-75.0,16.28106,21.40002,-92.05966503202563,-74.52341752945128,-0.05175740473632812,-0.0018613737467447881,-0.18704865919596356,7.177895265189406e-06,1.0808022026294365e-05,1.6307322388481557e-05,0.19408630699838894,-0.00591369300161107,-3.0469398346891925,-7.559477138213122,-7.3370361328125
-90.0,-70.0,17.40568,21.40002,-91.55686103691285,-69.89899389530943,-0.0662505159016927,-0.0018006254557291605,-0.18109504388020836,7.70257760717073e-06,1.8606898372099586e-05,2.131906683455606e-05,0.19284135455665843,-0.007158645443341577,-3.7121941296249843,-6.615183890962753,-6.39373779296875
-90.0,-65.0,18.34983,21.40002,-91.26441705127304,-65.2726289470087,-0.08032307856445313,-0.0017728768391927034,-0.17445785312500003,1.1388140677411907e-05,5.937934101138777e-06,5.186496894243082e-06,0.19206895261687232,-0.007931047383127693,-4.129270907697442,-5.849732386872674,-5.6280517578125
-90.0,-60.0,19.13982,21.40002,-91.03455662447979,-60.7026420585085,-0.09392847814127604,-0.0016961963378906199,-0.16742395826822917,1.052648708716803e-05,9.056927568174624e-06,2.3513915385986913e-05,0.19197973301928145,-0.00802026698071856,-4.177663368202021,-5.284724467158786,-5.0616455078125
-90.0,-55.0,19.81341,21.40002,-90.84745513872565,-56.189163056873426,-0.1071823986328125,-0.0015854378743489518,-0.16005917351888022,1.9978589006484043e-05,1.496599981031998e-05,1.823503399838764e-05,0.19263831191505898,-0.0073616880849410316,-3.821507784073118,-4.8862286926171485,-4.6630859375
-90.0,-50.0,20.41033,21.40002,-90.71318479991055,-51.71372548624326,-0.11999094965820312,-0.0014936552408854123,-0.15202152500000002,2.1277067322372195e-05,1.5180311155614043e-05,5.305934195830472e-06,0.19367654238234866,-0.006323457617651351,-3.2649579241082423,-4.606314998246756,-4.384765625
-90.0,-45.0,20.96786,21.40002,-90.59701051178328,-47.10027880985488,-0.13280768142903646,-0.00138387944335937,-0.1429272399251302,3.9467943302205255e-06,7.5221086188697504e-06,1.0739704577244511e-05,0.19511020291488068,-0.0048897970851193295,-2.5061719028873988,-4.407719734625087,-4.18731689453125
