#Procedure: <__main__.daedalusRadialPoloarCalibrationProcedure>
#Parameters:
#	Calibration Name: alignedLeftvn
#	Center Calibration File: ./icarus_center_calib.csv
#	Azimuthal Angle: 0 deg
#	Magnet Voltage: -3 V
#	Queued Time: 2019-07-05 16:30:35
#	Start Y position: -15 mm
#	Y position step: 0.01 mm
#	Stop Y position: 15 mm
#Data:
R,Xfield,Yfield,Zfield,theta,phi,elapsed_time
-15.0,-0.003920624951171868,-0.0035621753417968693,-0.09455630283203126,-86.79354383166688,-132.2574489155342,60.864160776138306
-14.99,-0.003909272412109366,-0.003545463916015623,-0.09452894077148438,-86.80448351109136,-132.20604918881244,61.64416217803955
-14.98,-0.00393731196289062,-0.0034910022460937495,-0.09457461337890624,-86.81537549605876,-131.56167486784963,62.38416314125061
-14.97,-0.003931061962890621,-0.003473143359374993,-0.09455504550781252,-86.82469517872892,-131.46100725968935,63.164164304733276
-14.96,-0.003910908154296865,-0.003399278613281244,-0.09455409335937498,-86.86323016398178,-130.9964785800458,63.94416522979736
-14.950000000000001,-0.003917933300781239,-0.0033193958007812496,-0.09458975620117188,-86.8926091514984,-130.27231561994685,64.74416661262512
-14.940000000000001,-0.003906171826171867,-0.0032352527343749993,-0.09459138583984375,-86.93074221575047,-129.6329569784327,65.4981951713562
-14.930000000000001,-0.003936054638671867,-0.0031958057128906175,-0.09460548496093751,-86.93235022499819,-129.07422412347535,66.24819612503052
-14.920000000000002,-0.0038929088867187475,-0.0031503955566406228,-0.09459302158203126,-86.96946216014727,-128.98204050177563,67.05819702148438
-14.910000000000002,-0.0039326793945312424,-0.0030833789550781185,-0.09462744541015625,-86.9769919801329,-128.09787449163764,67.83819842338562
-14.900000000000002,-0.003906556347656243,-0.003012816210937491,-0.09462057895507811,-87.01538318261564,-127.64014481521627,68.6181993484497
-14.890000000000002,-0.003905030468749994,-0.0029679675781249942,-0.09461464023437499,-87.03239356768103,-127.23617713786216,69.41820049285889
-14.880000000000003,-0.003955073193359367,-0.002912272998046868,-0.094599698828125,-87.02787414716744,-126.36564946597159,70.20820164680481
-14.870000000000003,-0.003930939892578117,-0.002872191210937493,-0.09458828525390625,-87.05359384446459,-126.15420684124389,70.9882025718689
-14.860000000000003,-0.003982813671874995,-0.0027546191894531197,-0.09462670688476563,-87.07039950408121,-124.6687583873519,71.72820353507996
-14.850000000000003,-0.0039760387695312455,-0.0027140552246093727,-0.09464874057617187,-87.08832165938193,-124.31755485795384,72.5082049369812
-14.840000000000003,-0.0039498058593749955,-0.002646617480468745,-0.0946776529296875,-87.12513129919789,-123.82456359259635,73.24820590019226
-14.830000000000004,-0.003933179882812492,-0.0025794666015624967,-0.09466538486328124,-87.1555267619994,-123.2577510881802,73.98820686340332
-14.820000000000004,-0.003919446972656247,-0.0025217578613281194,-0.09466226596679689,-87.18136802657503,-122.75708097882698,74.7882080078125
-14.810000000000004,-0.0039740368164062415,-0.002475804492187497,-0.09467683505859376,-87.16879692980098,-121.92269386698393,75.57820916175842
-14.800000000000004,-0.003928205517578116,-0.0024289722167968666,-0.09468190708007812,-87.2073652705727,-121.73021905208024,76.31821012496948
-14.790000000000004,-0.003935828808593743,-0.0023599963867187435,-0.09465656528320313,-87.22435088019726,-120.94768815963424,77.1082112789154
-14.780000000000005,-0.003963996533203118,-0.002307738085937497,-0.09468703403320314,-87.2266510651336,-120.20687716907258,77.85821223258972
-14.770000000000005,-0.003943897656249994,-0.002223399707031247,-0.09472129306640625,-87.26348013058004,-119.41243206647937,78.6582133769989
-14.760000000000005,-0.003947040966796871,-0.002145482226562495,-0.09469170322265624,-87.28375015092722,-118.52705481353645,79.46821475028992
-14.750000000000005,-0.003958649853515621,-0.0020980090820312478,-0.09476634921874999,-87.29326015638321,-117.92273839821489,80.27821588516235
-14.740000000000006,-0.003949183300781249,-0.0020179065429687462,-0.09476106967773437,-87.32048647595248,-117.06558143993867,81.08821678161621
-14.730000000000006,-0.003929487255859364,-0.0019613757812499966,-0.09475641879882812,-87.34633935344633,-116.52575250345092,81.87821817398071
-14.720000000000006,-0.003926093701171869,-0.001907249804687497,-0.09476205844726562,-87.36276121496726,-115.90993226967896,82.6582190990448
-14.710000000000006,-0.003956336621093744,-0.0018795215332031157,-0.09475682163085936,-87.35341232324265,-115.41080955576572,83.45822024345398
-14.700000000000006,-0.003953992871093742,-0.0017709094726562416,-0.09479256381835938,-87.3831402106923,-114.1265945287787,84.23822140693665
-14.690000000000007,-0.003928669384765618,-0.001752592822265621,-0.09478335971679688,-87.40134177061815,-114.04181333138715,85.03124022483826
-14.680000000000007,-0.003924488476562495,-0.0016935291015624937,-0.09478567905273438,-87.41803169278477,-113.34158019285863,85.78328323364258
-14.670000000000007,-0.0038915233886718734,-0.0016263538085937446,-0.09480052280273438,-87.45257658601908,-112.6811302438107,86.59232950210571
-14.660000000000007,-0.003907752636718741,-0.0015239917480468698,-0.09481522617187502,-87.46701602004035,-111.3053791684095,87.40737628936768
-14.650000000000007,-0.0039027782714843723,-0.0014935229980468645,-0.09483644199218749,-87.47700067075468,-110.94094893269835,88.21942257881165
-14.640000000000008,-0.003936634472656242,-0.0014466968261718713,-0.09483768710937499,-87.46783501056812,-110.17817051855087,88.97146582603455
-14.630000000000008,-0.003915302685546872,-0.0013575000488281197,-0.09487668857421877,-87.49906335549828,-109.12227527581685,89.7855122089386
-14.620000000000008,-0.00390919916992187,-0.0012953296386718702,-0.09487110385742187,-87.51443330408433,-108.33283290328029,90.59955906867981
-14.610000000000008,-0.003957929638671871,-0.0012398486816406207,-0.09484995517578126,-87.49617572540744,-107.39352385204323,91.37560319900513
-14.600000000000009,-0.0039297802246093735,-0.0012031360351562465,-0.09487038974609374,-87.51947029363015,-107.02241973114349,92.19164991378784
-14.590000000000009,-0.003961353710937497,-0.0011195361816406235,-0.09492558383789063,-87.5168846608479,-105.78106373211097,93.01069688796997
-14.580000000000009,-0.003980775097656243,-0.0010445850097656195,-0.09489377231445312,-87.5166357453202,-104.70334245930431,93.82874345779419
-14.57000000000001,-0.003940205029296866,-0.0009976550781249927,-0.09489645786132811,-87.54744208479326,-104.20860844760679,94.64579033851624
-14.56000000000001,-0.003936524609374992,-0.0009568896972656227,-0.09489361972656249,-87.55543867331289,-103.66246645284785,95.45683670043945
-14.55000000000001,-0.0039968456542968656,-0.000910002490234374,-0.09489233798828126,-87.5264913950937,-102.82646215345522,96.26788306236267
-14.54000000000001,-0.003974549511718745,-0.0008077502929687425,-0.09488337802734376,-87.55237654719421,-101.48780484245009,97.07792925834656
-14.53000000000001,-0.003983350781249999,-0.0007714893066406159,-0.09489839877929687,-87.55181455875596,-100.96124685073558,97.89097595214844
