#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay between averages: 0.1 s
#	Magnetic field strength: 0.11 T
#	Calibration Name: phi_fieldsweep
#	Number of Averages: 3
#	Phi End Position: 172 mm
#	Phi Start Position: -173 mm
#	Phi Scan Step Size: 1 mm
#	Probe Station Name: Icarus
#	Theta End Position: 0 mm
#	Theta Start Position: 0 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
-173.0,0.0,26.78999,21.66002,-172.91845398093878,-1.5471648265435853,-0.013382903190104163,-0.10772724085286457,-0.002932045426432298,9.504674870402518e-06,1.6852517584863817e-05,8.491078110609303e-06,0.10859492349990149,-0.0014050765000985094,-1.2938694137942681,-2.102220429876659,-1.8798828125
-172.0,0.0,26.78999,21.66002,-171.93182086782852,-1.5425314063539277,-0.015234172721354161,-0.10746871220703125,-0.002922930843098965,2.7250244632649365e-05,1.1116126868840666e-05,3.344705524361792e-06,0.10858244630995978,-0.0014175536900402214,-1.305509074637781,-2.102220429876659,-1.87896728515625
-171.0,0.0,26.78999,21.66002,-170.91982280731568,-1.5574525501043042,-0.01713256546223958,-0.10719965703125,-0.002951680436197921,1.742070552890283e-05,1.0501798210876443e-05,9.541288901435051e-06,0.10860020112473544,-0.001399798875264563,-1.2889468534747828,-2.102220429876659,-1.8798828125
-170.0,0.0,26.78999,21.66002,-169.92238986664785,-1.5827439623300978,-0.01899694127604166,-0.10689013961588543,-0.0029997761393229217,3.278976338933057e-05,3.087929848385591e-05,7.852367298723046e-06,0.10860655772942492,-0.0013934422705750849,-1.2830185393101339,-2.102220429876659,-1.87896728515625
-169.0,0.0,26.78999,21.66002,-168.92826184920833,-1.5904426357197572,-0.020844825390625,-0.10652506800130208,-0.0030138264322916697,1.9134886523684207e-06,1.1207974153384425e-05,9.357155046395548e-06,0.1085872000192088,-0.0014127999807912045,-1.301074141833737,-2.102220429876659,-1.8804931640625
-168.0,0.0,26.78999,21.66002,-167.90837404052812,-1.5886263093710862,-0.02274253860677083,-0.10616016321614584,-0.0030110350911458383,1.1386262125871975e-05,7.448467220953366e-06,1.9624338414584364e-05,0.1086106332210585,-0.0013893667789414976,-1.2792180081610218,-2.102220429876659,-1.88232421875
-167.0,0.0,26.78999,21.66002,-166.92237592049875,-1.6044504813267884,-0.02456712153320312,-0.10575799443359375,-0.00304118442382813,1.0107415732168393e-05,1.1768021318000132e-05,1.2734122985655572e-05,0.10861650726175535,-0.001383492738244646,-1.2737407721190677,-2.102220429876659,-1.878662109375
-166.0,0.0,26.78999,21.66002,-165.91030700907274,-1.6240617320352797,-0.026426284944661455,-0.10528760869140626,-0.003077793310546882,1.1855943947153462e-05,1.2202459878094245e-05,9.18207746196017e-06,0.10859696999269167,-0.001403030007308334,-1.2919605467839066,-2.102220429876659,-1.88385009765625
-165.0,0.0,26.78999,21.66002,-164.90604350508517,-1.625911730387068,-0.028272692008463537,-0.10482721643880209,-0.003081858251953132,2.4245481368600036e-05,1.841446634780537e-05,1.628210921043206e-05,0.10861670345760835,-0.0013832965423916516,-1.2735578399610827,-2.102220429876659,-1.8804931640625
-164.0,0.0,26.78999,21.66002,-163.89455778406867,-1.633544849342206,-0.03011474116210937,-0.10429778528645833,-0.0030959187174479236,1.107627275493222e-05,1.1577426208622375e-05,1.585625253933775e-05,0.10860253387295368,-0.001397466127046318,-1.2867711988019666,-2.102220429876659,-1.87896728515625
-163.0,0.0,26.78999,21.66002,-162.9095006331676,-1.6449190715415392,-0.031901065218098955,-0.10375724777018229,-0.0031172647460937578,9.911329283602954e-06,1.821108329834986e-05,5.263021566954832e-06,0.10859540398373055,-0.001404596016269452,-1.2934212358378303,-2.102220429876659,-1.87957763671875
-162.0,0.0,26.78999,21.66002,-161.90500823111975,-1.6586897559328075,-0.03371875117187499,-0.10319319340820314,-0.003143715348307298,1.852796537677373e-06,1.0865534446657452e-05,7.83239744815021e-06,0.10860788319714562,-0.001392116802854379,-1.2817824653919467,-2.102220429876659,-1.87957763671875
-161.0,0.0,26.78999,21.66002,-160.90140098764746,-1.6596211264412768,-0.03552414261067708,-0.10259571619466146,-0.0031457559570312577,1.652881115088046e-05,9.375499782660616e-06,7.996923905788107e-06,0.10861740868875688,-0.001382591311243117,-1.2729002909698681,-2.102220429876659,-1.8798828125
