#Procedure: <__main__.icarusCalibCheckFieldSweepProcedure>
#Parameters:
#	Magnet Calibration Filename: ./calibrations/icarus
#	Delay between averages: 0.1 s
#	Magnetic field strength: 0.05 T
#	Calibration Name: theta90phisweep
#	Number of Averages: 3
#	Phi End Position: 90 mm
#	Phi Start Position: -90 mm
#	Phi Scan Step Size: 5 mm
#	Probe Station Name: Icarus
#	Theta End Position: 90 mm
#	Theta Start Position: 90 mm
#	Theta Scan Step Size: 5 mm
#Data:
phi,theta,X,Y,act_phi,act_theta,Xfield_avg,Yfield_avg,Zfield_avg,Xfield_std,Yfield_std,Zfield_std,Bmag,Bmag_deviation,Bmag_percent_dev,V,act_V
-90.0,90.0,41.24561,21.765,48.66411030638104,88.79122337144567,0.000780447233072921,0.0006865062988281276,0.049260880598958334,1.2482270276753162e-05,2.5592504634066472e-05,1.7184708349296872e-05,0.04927184537001605,-0.0007281546299839556,-1.4778310504015906,-1.5585158703639177,-1.339111328125
-85.0,90.0,41.19047,23.02658,45.49694992764713,88.66525829040496,0.0008186064127604226,0.0008045279459635476,0.04926093349609375,8.977915796215748e-06,2.16684274003894e-05,1.698104083555315e-05,0.04927430314658361,-0.000725696853416391,-1.4727693890617843,-1.5585158703639177,-1.334228515625
-80.0,90.0,41.02561,24.27903,45.30846107591029,88.52919399748743,0.0008988961263020923,0.0008892691569010481,0.049245979882812506,8.62515567863079e-06,9.90520209483576e-06,1.540786632676635e-05,0.049262210146294394,-0.0007377898537056088,-1.4976791571360444,-1.5585158703639177,-1.33575439453125
-75.0,90.0,40.75219,25.51224,44.70494913460073,88.43187070988502,0.0009476530436197972,0.0009574637369791731,0.04920901495768229,2.025933358403833e-05,1.5989442166130975e-05,2.3716532029574335e-05,0.04922745104313356,-0.0007725489568664451,-1.5693458436219467,-1.5585158703639177,-1.3348388671875
-70.0,90.0,40.37227,26.71715,44.60400010143159,88.237999229078,0.001062627001953131,0.0010774181640625057,0.04919238898111979,1.66147972160939e-05,1.5560094813482652e-06,1.5934995764080648e-05,0.04921565949690533,-0.0007843405030946715,-1.5936807737870313,-1.5585158703639177,-1.3348388671875
-65.0,90.0,39.8889,27.88436,47.276570372291815,88.08965675607898,0.0012057869954427147,0.001113581494140629,0.04920938320312499,1.2342465987134868e-05,7.518878924985135e-06,8.048518546939198e-06,0.049236748280674175,-0.0007632517193258276,-1.5501667879749281,-1.5585158703639177,-1.33636474609375
-60.0,90.0,39.3055,29.00485,47.11581000689242,87.95045804333682,0.0012884794596354245,0.0011966666178385456,0.049137565169270835,3.976274787639591e-06,1.9934398064357043e-05,3.0996299464672186e-06,0.04916901972865119,-0.0008309802713488135,-1.6900484816145205,-1.5585158703639177,-1.334228515625
-55.0,90.0,38.62681,30.07024,49.92444495152055,87.85979534917477,0.0014053455078125072,0.0011823864257812556,0.04914457810872395,1.4709855070725138e-05,1.376291300846603e-05,6.134306151396827e-06,0.04917888358981596,-0.0008211164101840432,-1.6696524000680675,-1.5585158703639177,-1.3348388671875
-50.0,90.0,37.85778,31.07244,52.29093691971747,87.74538399081975,0.0015291634602864618,0.0011822582519531281,0.04909458828125,1.177048741735535e-06,1.252966083682764e-05,8.316672578139939e-06,0.0491326233165708,-0.0008673766834292052,-1.7653783268207213,-1.5585158703639177,-1.339111328125
-45.0,90.0,37.00429,32.00418,54.95566372108884,87.66517814711369,0.0016372913085937583,0.0011483328776041694,0.04904845587565104,6.737586460138554e-06,8.815654979724275e-06,1.968486478954104e-05,0.049089208742988215,-0.0009107912570117879,-1.8553797878069958,-1.5585158703639177,-1.33514404296875
